,Symptoms,Conditions
1625,"['cough with mucus long time', 'low grade fever below 100.4f']","[('Bronchitis', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Viral Pneumonia', 'Fair match'), ('Common Cold', 'Fair match')]"
1626,"['cough with mucus long time', 'fever goes up and down']","[('Bronchitis', 'Moderate match'), ('Hodgkins Disease', 'Moderate match'), ('Adult Still Disease', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
1627,"['cough with mucus long time', 'constant fever with varying temperatures']","[('Bronchitis', 'Moderate match'), ('Hodgkins Disease', 'Moderate match'), ('Adult Still Disease', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
1628,"['cough with mucus long time', 'high grade fever between 103f to 104f']","[('Bronchitis', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Viral Pneumonia', 'Fair match')]"
1629,"[""can't cough up mucus or phlegm"", 'fever']","[('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Viral Pneumonia', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Strep Throat', 'Fair match')]"
1630,"[""can't cough up mucus or phlegm"", 'pelebstein fever']","[('Hodgkins Disease', 'Moderate match')]"
1631,"[""can't cough up mucus or phlegm"", 'recurring fever']","[('Familial Mediterranean Fever', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), (""Crohn's Disease"", 'Fair match'), ('Hodgkins Disease', 'Fair match')]"
1632,"[""can't cough up mucus or phlegm"", 'hay fever']","[('Eye Allergies', 'Fair match')]"
1633,"[""can't cough up mucus or phlegm"", 'fever blister']","[('Cold Sores', 'Moderate match')]"
1634,"[""can't cough up mucus or phlegm"", 'typhoid fever']",[]
1635,"[""can't cough up mucus or phlegm"", 'high fever']","[('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Septicemia', 'Fair match'), ('Pneumococcal Meningitis', 'Fair match')]"
1636,"[""can't cough up mucus or phlegm"", 'fever unknown origin']","[('Drug Allergy', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Subacute Bacterial Endocarditis', 'Fair match')]"
1637,"[""can't cough up mucus or phlegm"", 'fever below 100.4f']","[('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Viral Pneumonia', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Strep Throat', 'Fair match')]"
1638,"[""can't cough up mucus or phlegm"", 'very high fever']","[('Heat Stroke (hyperthermia)', 'Moderate match'), ('Malignant Hyperthermia', 'Moderate match'), ('Drug Overdose', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
1639,"[""can't cough up mucus or phlegm"", 'history of rheumatic fever']","[('Aortic Stenosis', 'Fair match'), ('Mitral Regurgitation', 'Fair match')]"
1640,"[""can't cough up mucus or phlegm"", 'fever that comes back']","[('Familial Mediterranean Fever', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), (""Crohn's Disease"", 'Fair match'), ('Hodgkins Disease', 'Fair match')]"
1641,"[""can't cough up mucus or phlegm"", 'fever 103f to 104f']","[('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Septicemia', 'Fair match'), ('Pneumococcal Meningitis', 'Fair match')]"
1642,"[""can't cough up mucus or phlegm"", 'fever extreme above 106f']","[('Heat Stroke (hyperthermia)', 'Moderate match'), ('Malignant Hyperthermia', 'Moderate match'), ('Drug Overdose', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
1643,"[""can't cough up mucus or phlegm"", 'low grade fever below 100.4f']","[('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Viral Pneumonia', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Strep Throat', 'Fair match')]"
1644,"[""can't cough up mucus or phlegm"", 'fever goes up and down']","[('Hodgkins Disease', 'Moderate match'), ('Adult Still Disease', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Viral Pneumonia', 'Fair match')]"
1645,"[""can't cough up mucus or phlegm"", 'constant fever with varying temperatures']","[('Hodgkins Disease', 'Moderate match'), ('Adult Still Disease', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Viral Pneumonia', 'Fair match')]"
1646,"[""can't cough up mucus or phlegm"", 'high grade fever between 103f to 104f']","[('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Influenza (flu) Adults', 'Fair match'), ('Septicemia', 'Fair match'), ('Pneumococcal Meningitis', 'Fair match')]"
1647,"['cough up stuff that smells bad', 'fever']","[('Coronavirus', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Abscess', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
1648,"['cough up stuff that smells bad', 'pelebstein fever']","[('Hodgkins Disease', 'Moderate match'), ('Abscess', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Coronavirus', 'Fair match')]"
1649,"['cough up stuff that smells bad', 'recurring fever']","[('Coronavirus', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Abscess', 'Moderate match'), ('Familial Mediterranean Fever', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match')]"
1650,"['cough up stuff that smells bad', 'hay fever']","[('Abscess', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Eye Allergies', 'Fair match')]"
1651,"['cough up stuff that smells bad', 'fever blister']","[('Cold Sores', 'Moderate match'), ('Abscess', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match')]"
1652,"['cough up stuff that smells bad', 'typhoid fever']","[('Abscess', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
1653,"['cough up stuff that smells bad', 'high fever']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Abscess', 'Moderate match'), ('Viral Pneumonia', 'Fair match')]"
1654,"['cough up stuff that smells bad', 'fever unknown origin']","[('Coronavirus', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Abscess', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Chronic Sinusitis', 'Fair match')]"
1655,"['cough up stuff that smells bad', 'fever below 100.4f']","[('Coronavirus', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Abscess', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
1656,"['cough up stuff that smells bad', 'very high fever']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Abscess', 'Moderate match'), ('Heat Stroke (hyperthermia)', 'Moderate match')]"
1657,"['cough up stuff that smells bad', 'history of rheumatic fever']","[('Abscess', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
1658,"['cough up stuff that smells bad', 'fever that comes back']","[('Coronavirus', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Abscess', 'Moderate match'), ('Familial Mediterranean Fever', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match')]"
1659,"['cough up stuff that smells bad', 'fever 103f to 104f']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Abscess', 'Moderate match'), ('Viral Pneumonia', 'Fair match')]"
1660,"['cough up stuff that smells bad', 'fever extreme above 106f']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Abscess', 'Moderate match'), ('Heat Stroke (hyperthermia)', 'Moderate match')]"
1661,"['cough up stuff that smells bad', 'low grade fever below 100.4f']","[('Coronavirus', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Abscess', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
1662,"['cough up stuff that smells bad', 'fever goes up and down']","[('Hodgkins Disease', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Abscess', 'Moderate match'), ('Adult Still Disease', 'Moderate match')]"
1663,"['cough up stuff that smells bad', 'constant fever with varying temperatures']","[('Hodgkins Disease', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Abscess', 'Moderate match'), ('Adult Still Disease', 'Moderate match')]"
1664,"['cough up stuff that smells bad', 'high grade fever between 103f to 104f']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Abscess', 'Moderate match'), ('Viral Pneumonia', 'Fair match')]"
1665,"['cough up frothy or bubbly gunk', 'fever']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
1666,"['cough up frothy or bubbly gunk', 'pelebstein fever']","[('Pulmonary Edema', 'Moderate match'), ('Hodgkins Disease', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
1667,"['cough up frothy or bubbly gunk', 'recurring fever']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Familial Mediterranean Fever', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match')]"
1668,"['cough up frothy or bubbly gunk', 'hay fever']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Eye Allergies', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
1669,"['cough up frothy or bubbly gunk', 'fever blister']","[('Pulmonary Edema', 'Moderate match'), ('Cold Sores', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
1670,"['cough up frothy or bubbly gunk', 'typhoid fever']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
1671,"['cough up frothy or bubbly gunk', 'high fever']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Viral Pneumonia', 'Fair match')]"
1672,"['cough up frothy or bubbly gunk', 'fever unknown origin']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Chronic Sinusitis', 'Fair match')]"
1673,"['cough up frothy or bubbly gunk', 'fever below 100.4f']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
1674,"['cough up frothy or bubbly gunk', 'very high fever']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Heat Stroke (hyperthermia)', 'Moderate match')]"
1675,"['cough up frothy or bubbly gunk', 'history of rheumatic fever']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
1676,"['cough up frothy or bubbly gunk', 'fever that comes back']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Familial Mediterranean Fever', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match')]"
1677,"['cough up frothy or bubbly gunk', 'fever 103f to 104f']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Viral Pneumonia', 'Fair match')]"
1678,"['cough up frothy or bubbly gunk', 'fever extreme above 106f']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Heat Stroke (hyperthermia)', 'Moderate match')]"
1679,"['cough up frothy or bubbly gunk', 'low grade fever below 100.4f']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
1680,"['cough up frothy or bubbly gunk', 'fever goes up and down']","[('Pulmonary Edema', 'Moderate match'), ('Hodgkins Disease', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Adult Still Disease', 'Moderate match')]"
1681,"['cough up frothy or bubbly gunk', 'constant fever with varying temperatures']","[('Pulmonary Edema', 'Moderate match'), ('Hodgkins Disease', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Adult Still Disease', 'Moderate match')]"
1682,"['cough up frothy or bubbly gunk', 'high grade fever between 103f to 104f']","[('Pulmonary Edema', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Moderate match'), ('Viral Pneumonia', 'Fair match')]"
1683,"['sharp distinct sound to each cough', 'fever']","[('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Viral Pneumonia', 'Fair match'), ('Chronic Sinusitis', 'Fair match')]"
1684,"['sharp distinct sound to each cough', 'pelebstein fever']","[('Hodgkins Disease', 'Moderate match'), ('Asthma (teen And Adult)', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Acute Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
1685,"['sharp distinct sound to each cough', 'recurring fever']","[('Familial Mediterranean Fever', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
1686,"['sharp distinct sound to each cough', 'hay fever']","[('Asthma (teen And Adult)', 'Fair match'), ('Eye Allergies', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
1687,"['sharp distinct sound to each cough', 'fever blister']","[('Cold Sores', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Erythema Multiforme', 'Fair match')]"
1688,"['sharp distinct sound to each cough', 'typhoid fever']","[('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Acute Sinusitis', 'Fair match')]"
1689,"['sharp distinct sound to each cough', 'high fever']","[('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
1690,"['sharp distinct sound to each cough', 'fever unknown origin']","[('Chronic Sinusitis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Drug Allergy', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
1691,"['sharp distinct sound to each cough', 'fever below 100.4f']","[('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Common Cold', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Viral Pneumonia', 'Fair match')]"
1692,"['sharp distinct sound to each cough', 'very high fever']","[('Bacterial Pneumonia', 'Moderate match'), ('Heat Stroke (hyperthermia)', 'Moderate match'), ('Malignant Hyperthermia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
1693,"['sharp distinct sound to each cough', 'history of rheumatic fever']","[('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Aortic Stenosis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Subacute Bacterial Endocarditis', 'Fair match')]"
1694,"['sharp distinct sound to each cough', 'fever that comes back']","[('Familial Mediterranean Fever', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
1695,"['sharp distinct sound to each cough', 'fever 103f to 104f']","[('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
1696,"['sharp distinct sound to each cough', 'fever extreme above 106f']","[('Bacterial Pneumonia', 'Fair match'), ('Heat Stroke (hyperthermia)', 'Moderate match'), ('Malignant Hyperthermia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
1697,"['sharp distinct sound to each cough', 'low grade fever below 100.4f']","[('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Common Cold', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match'), ('Viral Pneumonia', 'Fair match')]"
1698,"['sharp distinct sound to each cough', 'fever goes up and down']","[('Hodgkins Disease', 'Moderate match'), ('Adult Still Disease', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
1699,"['sharp distinct sound to each cough', 'constant fever with varying temperatures']","[('Hodgkins Disease', 'Moderate match'), ('Adult Still Disease', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
1700,"['sharp distinct sound to each cough', 'high grade fever between 103f to 104f']","[('Bacterial Pneumonia', 'Moderate match'), ('Coronavirus', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Chronic Sinusitis', 'Fair match'), ('Asthma (teen And Adult)', 'Fair match')]"
1701,"['coughing up a lot of blood', 'fever']","[('Bacterial Pneumonia', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Abscess', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
1702,"['coughing up a lot of blood', 'pelebstein fever']","[('Hodgkins Disease', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Abscess', 'Moderate match'), ('Lung Cancer (non Small Cell)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match')]"
1703,"['coughing up a lot of blood', 'recurring fever']","[('Lung Cancer (non Small Cell)', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Familial Mediterranean Fever', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Abscess', 'Moderate match')]"
1704,"['coughing up a lot of blood', 'hay fever']","[('Lung Cancer (non Small Cell)', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bronchitis', 'Fair match')]"
1705,"['coughing up a lot of blood', 'fever blister']","[('Cold Sores', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Pulmonary Embolism', 'Fair match')]"
1706,"['coughing up a lot of blood', 'typhoid fever']","[('Tuberculosis', 'Moderate match'), ('Lung Cancer (non Small Cell)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Pulmonary Embolism', 'Fair match')]"
1707,"['coughing up a lot of blood', 'high fever']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Lung Cancer (non Small Cell)', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Abscess', 'Moderate match')]"
1708,"['coughing up a lot of blood', 'fever unknown origin']","[('Lung Cancer (non Small Cell)', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Abscess', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match')]"
1709,"['coughing up a lot of blood', 'fever below 100.4f']","[('Bacterial Pneumonia', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Abscess', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match'), ('Coronavirus', 'Fair match')]"
1710,"['coughing up a lot of blood', 'very high fever']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Heat Stroke (hyperthermia)', 'Moderate match'), ('Malignant Hyperthermia', 'Moderate match'), ('Tuberculosis', 'Moderate match')]"
1711,"['coughing up a lot of blood', 'history of rheumatic fever']","[('Tuberculosis', 'Moderate match'), ('Lung Cancer (non Small Cell)', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Bacterial Pneumonia', 'Fair match'), ('Mitral Regurgitation', 'Fair match')]"
1712,"['coughing up a lot of blood', 'fever that comes back']","[('Bacterial Pneumonia', 'Moderate match'), ('Familial Mediterranean Fever', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Abscess', 'Moderate match'), ('Lung Cancer (non Small Cell)', 'Fair match')]"
1713,"['coughing up a lot of blood', 'fever 103f to 104f']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Abscess', 'Moderate match'), ('Lung Cancer (non Small Cell)', 'Fair match')]"
1714,"['coughing up a lot of blood', 'fever extreme above 106f']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Heat Stroke (hyperthermia)', 'Moderate match'), ('Malignant Hyperthermia', 'Moderate match'), ('Tuberculosis', 'Moderate match')]"
1715,"['coughing up a lot of blood', 'low grade fever below 100.4f']","[('Lung Cancer (non Small Cell)', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Abscess', 'Moderate match'), ('Bacterial Pneumonia', 'Fair match')]"
1716,"['coughing up a lot of blood', 'fever goes up and down']","[('Hodgkins Disease', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Abscess', 'Moderate match'), ('Adult Still Disease', 'Moderate match')]"
1717,"['coughing up a lot of blood', 'constant fever with varying temperatures']","[('Hodgkins Disease', 'Moderate match'), ('Lung Cancer (non Small Cell)', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Abscess', 'Moderate match')]"
1718,"['coughing up a lot of blood', 'high grade fever between 103f to 104f']","[('Bacterial Pneumonia', 'Moderate match'), ('Bacterial Pneumonia', 'Moderate match'), ('Tuberculosis', 'Moderate match'), ('Abscess', 'Moderate match'), ('Influenza (flu) Adults', 'Fair match')]"
1719,"['chronic cough (>8 weeks, normal chest xray)', 'fever']","[('Asthma (teen And Adult)', 'STRONG match'), ('Heartburn/GERD', 'Moderate match'), ('Drug Allergy', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match'), ('Coronavirus', 'Moderate match')]"
1720,"['chronic cough (>8 weeks, normal chest xray)', 'pelebstein fever']","[('Asthma (teen And Adult)', 'Moderate match'), ('Heartburn/GERD', 'Moderate match'), ('Hodgkins Disease', 'Moderate match'), ('Drug Allergy', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match')]"
1721,"['chronic cough (>8 weeks, normal chest xray)', 'recurring fever']","[('Asthma (teen And Adult)', 'STRONG match'), ('Heartburn/GERD', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match'), ('Drug Allergy', 'Moderate match'), ('Coronavirus', 'Moderate match')]"
1722,"['chronic cough (>8 weeks, normal chest xray)', 'hay fever']","[('Asthma (teen And Adult)', 'STRONG match'), ('Heartburn/GERD', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match'), ('Drug Allergy', 'Moderate match'), ('Bronchitis', 'Moderate match')]"
1723,"['chronic cough (>8 weeks, normal chest xray)', 'fever blister']","[('Asthma (teen And Adult)', 'Moderate match'), ('Heartburn/GERD', 'Moderate match'), ('Cold Sores', 'Moderate match'), ('Drug Allergy', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match')]"
1724,"['chronic cough (>8 weeks, normal chest xray)', 'typhoid fever']","[('Asthma (teen And Adult)', 'Moderate match'), ('Heartburn/GERD', 'Moderate match'), ('Drug Allergy', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match'), ('Hay Fever', 'Moderate match')]"
1725,"['chronic cough (>8 weeks, normal chest xray)', 'high fever']","[('Asthma (teen And Adult)', 'STRONG match'), ('Heartburn/GERD', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match'), ('Drug Allergy', 'Moderate match'), ('Coronavirus', 'Moderate match')]"
1726,"['chronic cough (>8 weeks, normal chest xray)', 'fever unknown origin']","[('Asthma (teen And Adult)', 'STRONG match'), ('Heartburn/GERD', 'Moderate match'), ('Drug Allergy', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match'), ('Coronavirus', 'Moderate match')]"
1727,"['chronic cough (>8 weeks, normal chest xray)', 'fever below 100.4f']","[('Asthma (teen And Adult)', 'STRONG match'), ('Heartburn/GERD', 'Moderate match'), ('Drug Allergy', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match'), ('Whooping Cough', 'Moderate match')]"
1728,"['chronic cough (>8 weeks, normal chest xray)', 'very high fever']","[('Asthma (teen And Adult)', 'STRONG match'), ('Heartburn/GERD', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match'), ('Drug Allergy', 'Moderate match'), ('Coronavirus', 'Moderate match')]"
1729,"['chronic cough (>8 weeks, normal chest xray)', 'history of rheumatic fever']","[('Asthma (teen And Adult)', 'Moderate match'), ('Heartburn/GERD', 'Moderate match'), ('Drug Allergy', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match'), ('Hay Fever', 'Moderate match')]"
1730,"['chronic cough (>8 weeks, normal chest xray)', 'fever that comes back']","[('Asthma (teen And Adult)', 'STRONG match'), ('Heartburn/GERD', 'Moderate match'), ('Chronic Sinusitis', 'Moderate match'), ('Drug Allergy', 'Moderate match'), ('Coronavirus', 'Moderate match')]"
